iter	Logloss
0	0.690635572
1	0.686777294
2	0.6836147683
3	0.6801832268
4	0.6768800917
5	0.6736541645
6	0.6708239701
7	0.6683535227
8	0.6663372272
9	0.6645026105
10	0.6628258306
11	0.6616892704
12	0.6598374262
13	0.6586115092
14	0.6568877322
15	0.6551566215
16	0.6534626123
17	0.6525040517
18	0.6508708423
19	0.6495768522
20	0.6470902108
21	0.6460507317
22	0.6445454071
23	0.6429580879
24	0.6413906289
25	0.6399025643
26	0.6385599939
27	0.6373776309
28	0.6357411642
29	0.6341911011
30	0.6322382132
31	0.6310089611
32	0.6282333244
33	0.6269141417
34	0.625537276
35	0.623841299
36	0.6222805342
37	0.6209563236
38	0.6197259353
39	0.6185237155
40	0.6172936554
41	0.6161530058
42	0.6133570222
43	0.6115080114
44	0.6086455932
45	0.6075317413
46	0.6052039422
47	0.6039863246
48	0.6028631282
49	0.6019361495
50	0.5995925174
51	0.598301345
52	0.5973610957
53	0.5964258538
54	0.5950565463
55	0.5940267415
56	0.5927514137
57	0.5913283962
58	0.5889448591
59	0.5875856718
60	0.586768013
61	0.585718399
62	0.5843340666
63	0.5830422455
64	0.5817124417
65	0.5805663879
66	0.5794039957
67	0.5781692346
68	0.5767058602
69	0.5749382508
70	0.5724833032
71	0.5715660968
72	0.5706918659
73	0.5693666041
74	0.568343977
75	0.5673007943
76	0.5662179731
77	0.5654709306
78	0.5638573338
79	0.5630913494
80	0.5624309245
81	0.5613700591
82	0.5600240659
83	0.5590140309
84	0.556403721
85	0.5553843387
86	0.5544221508
87	0.5525272844
88	0.5514254174
89	0.5499821896
90	0.5479195078
91	0.5464723399
92	0.5454115889
93	0.5446251543
94	0.5433342034
95	0.5415246946
96	0.5406036664
97	0.5393791829
98	0.5382107195
99	0.5373087939
100	0.5355346743
101	0.5329126251
102	0.5321342934
103	0.5309302076
104	0.5294206149
105	0.5281085429
106	0.5267739331
107	0.5255732762
108	0.5246389097
109	0.5238466094
110	0.5227735711
111	0.5216996025
112	0.5208597607
113	0.5198982252
114	0.5175189138
115	0.514671237
116	0.5133480246
117	0.5122690386
118	0.5113225631
119	0.5102255834
120	0.5090344717
121	0.5083205913
122	0.5067137081
123	0.5060114588
124	0.5047580533
125	0.5036687871
126	0.5025488668
127	0.501512716
128	0.5008185685
129	0.4992668556
130	0.4982835253
131	0.4952225791
132	0.4942972198
133	0.4933481476
134	0.4927811068
135	0.4918634378
136	0.4914190954
137	0.4903604912
138	0.4891141655
139	0.4882815403
140	0.4854140459
141	0.4846493134
142	0.4841024315
143	0.4830146517
144	0.4821102984
145	0.4815643362
146	0.4807798875
147	0.4796547776
148	0.4789485036
149	0.4778348176
150	0.4774695023
151	0.4765256293
152	0.4743661071
153	0.4739077201
154	0.4727273725
155	0.4716012232
156	0.4700445846
157	0.4690072866
158	0.4679340623
159	0.467462946
160	0.4667093628
161	0.4659014421
162	0.4639312591
163	0.4629539518
164	0.4618280246
165	0.4608978594
166	0.4602829667
167	0.4577938865
168	0.4569668907
169	0.4563782947
170	0.4552328653
171	0.4549504136
172	0.4540043232
173	0.4533632836
174	0.4528399775
175	0.4513289458
176	0.4505786378
177	0.4496103716
178	0.4491698588
179	0.4484256671
180	0.4473877343
181	0.4466238413
182	0.445239663
183	0.4442749345
184	0.4439978272
185	0.4411772056
