iter	Logloss
0	0.6883143538
1	0.6836199375
2	0.6793617821
3	0.6747438001
4	0.6697794104
5	0.6651604234
6	0.6605654959
7	0.6564372139
8	0.6525550233
9	0.6486965373
10	0.6444253769
11	0.6403544946
12	0.6376174003
13	0.6339581875
14	0.6301760177
15	0.6267239993
16	0.6235394125
17	0.6207341598
18	0.6175421246
19	0.6144104447
20	0.6115587285
21	0.6088747186
22	0.6060232389
23	0.6030405853
24	0.6004696012
25	0.597625629
26	0.5950762806
27	0.5927634472
28	0.590293016
29	0.5878691075
30	0.5853912871
31	0.582685937
32	0.5803829165
33	0.5779999149
34	0.5759439907
35	0.5738835739
36	0.5717404566
37	0.569485614
38	0.567250279
39	0.5651440489
40	0.562954409
41	0.5610047126
42	0.5591711751
43	0.5571704042
44	0.5554449271
45	0.5535257926
46	0.551821892
47	0.5501509179
48	0.5484695989
49	0.5468462706
50	0.5453275741
51	0.5436760484
52	0.5422920726
53	0.5408985794
54	0.5394858741
55	0.5380352177
56	0.536908624
57	0.5355157219
58	0.5339269162
59	0.5326743507
60	0.5312904339
61	0.5300686668
62	0.5287247111
63	0.5273783908
64	0.5259859616
65	0.5247135929
66	0.5235599841
67	0.5223972127
68	0.5213082154
69	0.5202434549
70	0.5189500416
71	0.5177379691
72	0.5165589413
73	0.5154079336
74	0.5143811242
75	0.5133624726
76	0.5123356632
77	0.5112736219
78	0.5103354835
79	0.5093930889
80	0.5085206852
81	0.5074938758
82	0.5066094128
83	0.5057409106
84	0.5048648419
85	0.5040541531
86	0.5033012187
87	0.502533092
88	0.501605535
89	0.5007758115
90	0.4999003339
91	0.4991870649
92	0.4985071954
93	0.4978107148
94	0.4970938399
95	0.4963042548
96	0.4956076264
97	0.4949402594
98	0.4942302713
99	0.4935452884
100	0.4929011828
101	0.4922799542
102	0.4917061646
103	0.490999014
104	0.4904276776
105	0.4898357992
106	0.4892777635
107	0.4886968211
108	0.4880481341
109	0.4875162268
110	0.4868359139
111	0.4862489419
112	0.4856802065
113	0.4850812344
114	0.4844500747
115	0.4839341873
116	0.4834776206
117	0.4829765412
118	0.482465974
119	0.4820235652
120	0.4814918943
121	0.4810365395
122	0.4805285438
123	0.4800101735
124	0.4794581674
125	0.4790131871
126	0.4786170645
127	0.4781187635
128	0.4776136052
129	0.4771949306
130	0.4767292605
131	0.4762521517
132	0.4758445315
133	0.4754120243
134	0.4750115272
135	0.4746370699
136	0.4742805832
137	0.4738599283
138	0.4736355909
139	0.4732089655
140	0.4729219672
141	0.4726264566
142	0.4722383439
143	0.4719913658
144	0.471605263
145	0.4712836831
146	0.4709014523
147	0.4706510456
148	0.4703319485
149	0.4699988414
150	0.4697136757
151	0.4693909726
152	0.4691082306
153	0.468771015
154	0.4684945095
155	0.4682323687
156	0.4679155474
157	0.4675894749
158	0.4673216591
159	0.4670486413
160	0.4667442045
161	0.4664682901
162	0.4661225621
163	0.4657755337
164	0.4654583282
165	0.4651529751
166	0.464847888
167	0.4645405545
168	0.4642618322
169	0.4639878095
170	0.4637300727
171	0.4634358034
172	0.4631387263
173	0.4627968407
174	0.4625928089
175	0.4623449737
176	0.4621287644
177	0.4618489189
178	0.4615705218
179	0.4613326472
180	0.4610303385
181	0.4607619611
182	0.4604667165
183	0.4602261227
184	0.4599687405
185	0.459765093
186	0.4595485881
187	0.4593042406
188	0.459017065
189	0.4587843925
190	0.4585634541
191	0.4583375501
192	0.4581318927
193	0.4578708159
194	0.4576885085
195	0.4574965655
196	0.4573020215
197	0.4570161759
198	0.4567981341
199	0.4566641228
200	0.456411322
201	0.4561706395
202	0.4559512972
203	0.455659629
204	0.4554813708
205	0.4552818908
206	0.4550660066
207	0.454854556
208	0.4546474503
209	0.4544422067
210	0.4542362241
211	0.4540263104
212	0.453852279
213	0.4536811441
214	0.4535181078
215	0.4533198691
216	0.4531160147
217	0.4529603381
218	0.4528069078
219	0.4526355956
220	0.4524372092
221	0.4522943898
222	0.4521172549
223	0.4519463269
224	0.4517929557
225	0.4516477128
226	0.4515160955
227	0.4513581431
228	0.4512051562
229	0.4510341986
230	0.4508567385
231	0.4507325105
232	0.4505647156
233	0.4503958861
234	0.4502368105
235	0.4500732422
236	0.4499157035
237	0.4497653176
238	0.4496357694
239	0.449511305
240	0.4493623673
